State A,State A name,Conti-guity ,Shared river,Number shared rivers,Type of shared river,River(s),Length of river boundaries,Total length,Drainage basin(s),Size of basin in  km2,Total,Size of basin in state A,Total,Size of basin in state B,Total,Upstream State,Upstream State average,State B,State B name,Conti-guity start year,Conti-guity end year,,,,
2,USA,1,1,8,4,"St. Lawrence, 
Niagara River, Detroit River, 
St. Clair, Pigeon River, 
145,Bolivia,1,1,5,4,"Pilcomayo, Rio Grande de Tarija, Bermejo, Itaù, Sta Victoria","55, 70, 105, 40, 25",295,La Plata,3200000,3200000,238000,238000,990000,990000,"A,A,A,A,A",1,160,Argentina,1848,2016,,,,
150,Paraguay,1,1,3,1,"Paranà, Paraguay, Pilcomayo","660, 360, 575",1595,La Plata,3200000,3200000,407000,407000,990000,990000,A,1,160,Argentina,1846,1869,,,,
150,Paraguay,1,1,3,1,"Paranà, Paraguay, Pilcomayo","660, 360, 575",1595,La Plata,3200000,3200000,407000,407000,990000,990000,A,1,160,Argentina,1876,2016,,,,
155,Chile,1,1,4,1,"Simpsons, Galera, Jeinemeni, Vizcacha","30, 20, 45, 10",105,"Aysen, Baker, Serrano","15300, 25700, 9100",50100,"14400, 20350, 2140",36890,"900, 5350, 6960",13210,"B,B,B,B",2,160,Argentina,1841,2016,,,,
160,Argentina,1,1,1,1,Uruguay,500,500,La Plata,3200000,3200000,990000,990000,140000,140000,A,1,165,Uruguay,1882,2016,,,,
200,United Kingdom,1,1,3,4,"Blackwater, Foyle, Fane","25, 25, 10",60,"Bann, Foyle, Fane","5800, 4000, 190",9990,"5420, 2760, 25",8205,"380, 1240, 165",1785,"A,A,A",1,205,Irland,1922,2016,,,,
210,Netherlands,1,1,1,2,Meuse,40,40,Meuse,41400,41400,7300,7300,17300,17300,B,2,211,Belgium,1830,1939,,,,
210,Netherlands,1,1,1,2,Meuse,40,40,Meuse,41400,41400,7300,7300,17300,17300,B,2,211,Belgium,1945,2016,,,,
210,Netherlands,1,1,1,2,Meuse,40,40,Meuse,41400,41400,7300,7300,17300,17300,B,2,220,France,1816,1829,,,,
210,Netherlands,1,1,1,3,Dinkel,0,0,0,0,0,0,0,0,0,A,1,240,Hanover,1838,1865,,,,
210,Netherlands,1,1,7,4,"Rhinen, Niers, Rur, Berkel, Dinkel, Buurser, Oude Rÿn",0,0,Meuse,41400,41400,0,0,0,0,"A,A,A,B,B,B,B",2,255,Germany/Prussia,1816,1939,,,,
210,Netherlands,1,1,2,1,"Rhinen, Schoonebeecer","10, 25",35,Rhinen,168757,168757,10000,10000,100500,100500,"B,B",2,255,Germany/Prussia,1990,2016,,,,
210,Netherlands,1,1,2,1,"Rhinen, Schoonebeecer","10, 25",35,Rhinen,168757,168757,10000,10000,100500,100500,"B,B",2,260,GFR,1955,1989,,,,
211,Belgium,1,1,1,1,Sûre,10,10,Rhinen,168757,168757,1400,1400,2600,2600,B,2,212,Luxembourg,1920,1939,,,,
211,Belgium,1,1,1,1,Sûre,10,10,Rhinen,168757,168757,1400,1400,2600,2600,B,2,212,Luxembourg,1945,2016,,,,
211,Belgium,1,1,1,1,Leie,30,30,Schelde,16500,16500,9700,9700,6500,6500,A,1,220,France,1830,1939,,,,
211,Belgium,1,1,1,1,Leie,30,30,Schelde,16500,16500,9700,9700,6500,6500,A,1,220,France,1945,2016,,,,
211,Belgium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,Germany/Prussia,1830,1939,,,,
211,Belgium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,Germany/Prussia,1990,2016,,,,
211,Belgium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,GFR,1955,1989,,,,
212,Luxembourg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,France,1920,1939,,,,
212,Luxembourg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,France,1944,2016,,,,
212,Luxembourg,1,1,3,1,"Moselle, Our, Sauer","40, 35, 20",95,Rhinen,168757,168757,0,0,0,0,"B,B,B",2,255,Germany/Prussia,1920,1939,,,,
212,Luxembourg,1,1,3,1,"Moselle, Our, Sauer","40, 35, 20",95,Rhinen,168757,168757,0,0,0,0,"B,B,B",2,255,Germany/Prussia,1944,1944,,,,
212,Luxembourg,1,1,3,1,"Moselle, Our, Sauer","40, 35, 20",95,Rhinen,168757,168757,0,0,0,0,"B,B,B",2,255,Germany/Prussia,1990,2016,,,,
212,Luxembourg,1,1,3,1,"Moselle, Our, Sauer","40, 35, 20",95,Rhinen,168757,168757,2600,2600,100500,100500,"B,B,B",2,260,GFR,1955,1989,,,,
220,France,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,Monaco,1993,2016,,,,
220,France,1,1,2,4,"Doubs, Rhöne","45, 10",55,Rhöne,95300,95300,88000,88000,7300,7300,"A,B",3,225,Switzerland,1816,1941,,,,
220,France,1,1,2,4,"Doubs, Rhöne","45, 10",55,Rhöne,95300,95300,88000,88000,7300,7300,"A,B",3,225,Switzerland,1944,2016,,,,
220,France,1,1,1,1,Bidasoa,10,10,Bidasoa,820,820,180,180,640,640,B,2,230,Spain,1816,1941,,,,
220,France,1,1,1,1,Bidasoa,10,10,Bidasoa,820,820,180,180,640,640,B,2,230,Spain,1944,2016,,,,
220,France,1,1,1,1,Ariège,10,10,Garonne,53425,53425,52900,52900,25,25,A,1,232,Andorra,1993,2016,,,,
220,France,1,1,4,4,"Lauter, Sauer, Saar, Erbach",0,0,Rhinen,168757,168757,0,0,0,0,"B,B,B,B",2,245,Bavaria,1816,1870,,,,
220,France,1,1,1,3,Nied,0,0,Rhinen,168757,168757,0,0,0,0,A,1,255,Germany/Prussia,1816,1939,,,,
220,France,1,1,1,3,Nied,0,0,Rhinen,168757,168757,0,0,0,0,A,1,255,Germany/Prussia,1944,1944,,,,
220,France,1,1,3,4,"Rhinen, Lauter, Sarre","180, 20, 20",220,Rhinen,168757,168757,23700,23700,100500,100500,"A,B,A",1,255,Germany/Prussia,1990,2016,,,,
220,France,1,1,3,4,"Rhinen, Lauter, Sarre","180, 20, 20",220,Rhinen,168757,168757,23700,23700,100500,100500,"A,B,A",1,260,GFR,1955,1989,,,,
220,France,1,1,1,1,Rhinen,0,0,Rhinen,168757,168757,0,0,0,0,B,2,267,Baden,1816,1869,,,,
220,France,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Italy/Sardinia,1816,1941,,,,
220,France,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Italy/Sardinia,1944,2016,,,,
223,Liechtenstein,1,1,1,1,Rhinen,30,30,Rhinen,168757,168757,157,157,27500,27500,B,2,225,Switzerland,1990,2016,,,,
223,Liechtenstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,Austria,1990,2016,,,,
225,Switzerland,1,1,1,1,Rhinen,110,110,Rhinen,168757,168757,27500,27500,100500,100500,B,2,255,Germany/Prussia,1870,1944,,,,
225,Switzerland,1,1,1,1,Rhinen,110,110,Rhinen,168757,168757,27500,27500,100500,100500,B,2,255,Germany/Prussia,1990,2016,,,,
225,Switzerland,1,1,1,1,Rhinen,110,110,Rhinen,168757,168757,27500,27500,100500,100500,B,2,260,GFR,1955,1989,,,,
225,Switzerland,1,1,1,1,Rhinen,0,0,Rhinen,168757,168757,0,0,0,0,B,2,267,Baden,1816,1869,,,,
225,Switzerland,1,1,2,2,Rhinen,35,35,Rhinen,168757,168757,27500,27500,2900,2900,A,1,300,Austria-Hungary,1816,1917,,,,
225,Switzerland,1,1,2,2,Rhinen,35,35,Rhinen,168757,168757,27500,27500,2900,2900,A,1,305,Austria,1919,1937,,,,
225,Switzerland,1,1,2,2,Rhinen,35,35,Rhinen,168757,168757,27500,27500,2900,2900,A,1,305,Austria,1955,2016,,,,
225,Switzerland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Italy/Sardinia,1816,2016,,,,
230,Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,Andorra,1993,2016,,,,
230,Spain,1,1,11,4,"Minho, Douro, Touroes, Tejo, Erjes, Sever, Guadiana, Sabor, Agueda, Chanca, Ardila","70, 100, 35, 50, 65, 50, 50, 35, 30, 55, 20",560,"Minho, Douro, Tejo, Guadiana","13500, 94500, 82000, 61400",251400,"12800, 78600, 56500, 53800",201700,"700, 15900, 25500, 7600",49700,"A,A,A,A,B,A,A,A,A,A,A",1,235,Portugal,1816,2016,,,,
230,Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,Morokko,1956,2016,,,,
240,Hanover,1,1,17,4,"Ems, Hase, Glane, Bever, Else, Aue, Aa, Vechte, Elbe, Aland, Jeetze, Bode, Ohre, Ilse, Rhume, Leine, Weser",0,0,0,0,0,0,0,0,0,"B,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B",2,255,Germany/Prussia,1838,1865,,,,
240,Hanover,1,1,4,4,"Ohm, Lahn, Nidda, Schwalm, Main, Rhein, ",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,B",2,273,Hesse Electoral,1838,1865,,,,
240,Hanover,1,1,2,4,"Elbe, Bolize",0,0,0,0,0,0,0,0,0,"A,A",1,280,Mecklenburg Schwerin,1843,1865,,,,
245,Bavaria,1,1,3,4,"Nahe, Glan, Blies",0,0,Rhinen,168757,168757,0,0,0,0,"B,A,B",2,255,Germany/Prussia,1816,1870,,,,
245,Bavaria,1,1,1,1,Main,0,0,0,0,0,0,0,0,0,A,1,267,Baden,1816,1869,,,,
245,Bavaria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,Saxony,1816,1866,,,,
245,Bavaria,1,1,7,4,"Tauber, Egen, Dischingen, Brenz, Donau, Iller, Argen",0,0,0,0,0,0,0,0,0,"A,B,B,B,B,B,A",2,271,Wuerttemburg,1816,1869,,,,
245,Bavaria,1,1,1,1,Saale,0,0,0,0,0,0,0,0,0,A,1,273,Hesse Electoral,1816,1865,,,,
245,Bavaria,1,1,2,4,"Main, Gersprent",0,0,0,0,0,0,0,0,0,"B,B",2,275,Hesse Grand Ducal,1816,1866,,,,
245,Bavaria,1,1,17,4,"Iller, Lech, Lorsach, Halden S., Isartal, Inn, Achen-tal, Achen, Saalach, Ssalzach, Donau, Gr.Mühl, Cham, Pfreimd, Schwarzach, Ohre, Eger",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A",2,300,Austria-Hungary,1816,1870,,,,
255,Germany/Prussia,1,1,3,4,"Nahe, Glan, Blies",0,0,Rhinen,168757,168757,0,0,0,0,"A,B,A",1,267,Baden,1849,1869,,,,
255,Germany/Prussia,1,1,9,4,"Elser, Saale, Elster, Mulde, Elbe, Grosse Röder, Pulsnitz, Spree, Schwarze Elster",0,0,0,0,0,0,0,0,0,"A,A,B,B,B,B,B,B",2,269,Saxony,1816,1866,,,,
255,Germany/Prussia,1,1,2,3,"Donau, Neckar",0,0,"Donau, Rhinen","796250, 168757",965007,0,0,0,0,"B,B",2,271,Wuerttemburg,1849,1869,,,,
255,Germany/Prussia,1,1,4,4,"Lahn, Eder, Werra, Piemel",0,0,Rhinen,168757,168757,0,0,0,0,"A,A,A,A",1,273,Hesse Electoral,1816,1865,,,,
255,Germany/Prussia,1,1,1,1,Nahe,0,0,Rhinen,168757,168757,0,0,0,0,B,2,275,Hesse Grand Ducal,1816,1866,,,,
255,Germany/Prussia,1,1,8,4,"Löcknitz, Dosse, Uecker, Zarow, Landgraben, Tollense, Trebel, Recknitz",0,0,0,0,0,0,0,0,0,"B,A,B,B,B,B,A,B",2,280,Mecklenburg Schwerin,1843,1866,,,,
255,Germany/Prussia,1,1,2,4,"Narew, Wisla",0,0,Wisla,193000,193000,0,0,0,0,"A,B",3,290,Poland,1919,1938,,,,
255,Germany/Prussia,1,1,2,1,"Oder, Neise","170, 165",335,Oder,126000,126000,13000,13000,103800,103800,"A,B",3,290,Poland,1990,2016,,,,
255,Germany/Prussia,1,1,7,4,"Jizera, Orlice, Nysa, Opava, Odra, Olse, Wisla",0,0,0,0,0,0,0,0,0,"A,A,B,B,B,B,B",2,300,Austria-Hungary,1816,1917,,,,
